state,year,party,percent_votes,id
California,2000,democrat,0.5344974,6
Connecticut,2000,democrat,0.5590963,9
Delaware,2000,democrat,0.54977727,10
District of Columbia,2000,democrat,0.8515508,11
Hawaii,2000,democrat,0.5579167,15
Illinois,2000,democrat,0.5459652,17
Iowa,2000,democrat,0.47191915,19
Maine,2000,democrat,0.49086016,23
Maryland,2000,democrat,0.5648831,24
Massachusetts,2000,democrat,0.59126127,25
Michigan,2000,democrat,0.512798,26
New Jersey,2000,democrat,0.5612561,34
New Mexico,2000,democrat,0.47908553,35
New York,2000,democrat,0.5663927,36
Oregon,2000,democrat,0.4695994,41
Pennsylvania,2000,democrat,0.5060817,42
Rhode Island,2000,democrat,0.609877,44
Vermont,2000,democrat,0.5063471,50
Washington,2000,democrat,0.50158215,53
Wisconsin,2000,democrat,0.4783282,55
