state,year,party,percent_votes,id 
California,2008,democrat,0.6101264,6
Colorado,2008,democrat,0.5366024,8
Connecticut,2008,democrat,0.6058883,9
Delaware,2008,democrat,0.61942667,10
District of Columbia,2008,democrat,0.9245711,11
Florida,2008,democrat,0.51033306,12
Hawaii,2008,democrat,0.7145291,15
Illinois,2008,democrat,0.61918116,17
Indiana,2008,democrat,0.49945912,18
Iowa,2008,democrat,0.5392802,19
Maine,2008,democrat,0.57705736,23
Maryland,2008,democrat,0.61919343,24
Massachusetts,2008,democrat,0.61363196,25
Michigan,2008,democrat,0.5743325,26
Minnesota,2008,democrat,0.5406029,27
Nevada,2008,democrat,0.55146676,32
New Hampshire,2008,democrat,0.54126894,33
New Jersey,2008,democrat,0.57272136,34
New Mexico,2008,democrat,0.5690748,35
New York,2008,democrat,0.6015696,36
North Carolina,2008,democrat,0.49703667,37
Ohio,2008,democrat,0.5150427,39
Oregon,2008,democrat,0.5674881,41
Pennsylvania,2008,democrat,0.5448553,42
Rhode Island,2008,democrat,0.62864006,44
Vermont,2008,democrat,0.67455685,50
Virginia,2008,democrat,0.5262947,51
Washington,2008,democrat,0.5765289,53
Wisconsin,2008,democrat,0.56217784,55
