state,year,party,percent_votes,id 
Alabama,2012,republican,0.6054582,1
Alaska,2012,republican,0.5480158,2
Arizona,2012,republican,0.53654534,4
Arkansas,2012,republican,0.6056694,5
Georgia,2012,republican,0.5332924,13
Idaho,2012,republican,0.6452978,16
Indiana,2012,republican,0.5412553,18
Kansas,2012,republican,0.5971132,20
Kentucky,2012,republican,0.6049314,21
Louisiana,2012,republican,0.57784575,22
Mississippi,2012,republican,0.5528585,28
Missouri,2012,republican,0.5376374,29
Montana,2012,republican,0.5535154,30
Nebraska,2012,republican,0.59803194,31
North Carolina,2012,republican,0.5039306,37
North Dakota,2012,republican,0.5831568,38
Oklahoma,2012,republican,0.6677232,40
South Carolina,2012,republican,0.5456113,45
South Dakota,2012,republican,0.5788931,46
Tennessee,2012,republican,0.5947871,47
Texas,2012,republican,0.57166976,48
Utah,2012,republican,0.72790533,49
West Virginia,2012,republican,0.6229584,54
Wyoming,2012,republican,0.68193585,56
