Year,Age_Group,Total_Citizen,Total_Registered,Voted,Not Voted
2000,18 to 24,23915,12122,8635,15280
2000,25 to 34,72668,48769,40738,31930
2000,35 to 44,72668,48769,40738,31930
2000,45 to 54,57968,43710,39301,18667
2000,55 to 64,57968,43710,39301,18667
2000,65 to 74,17233,13573,12450,4783
2000,75+,14582,11375,9702,4880
2004,18 to 24,24898,14334,11639,13259
2004,25 to 34,32842,21690,18285,14557
2004,35 to 44,38389,27681,24560,13829
2004,45 to 54,39011,29448,26813,12198
2004,55 to 64,28173,22212,20513,7660
2004,65 to 74,17759,14125,13010,4749
2004,75+,15933,12581,10915,5018
2008,18 to 24,25791,15082,12515,13276
2008,25 to 34,34218,22736,19501,14717
2008,35 to 44,36397,25449,22865,13532
2008,45 to 54,41085,30210,27673,13412
2008,55 to 64,32288,24734,23071,9217
2008,65 to 74,19571,15290,14176,5395
2008,75+,16724,12810,11344,5380
2012,18 to 24,27535,14766,11353,16182
2012,25 to 34,35473,23435,18977,16496
2012,35 to 44,34265,24461,20965,13300
2012,45 to 54,40016,29445,26120,13896
2012,55 to 64,36623,28350,25893,10730
2012,65 to 74,23375,18620,17182,6193
2012,75+,17794,14079,12459,5335
2016,18 to 24,26913,14905,11560,15353
2016,25 to 34,38283,24682,20332,17951
2016,35 to 44,34327,23948,20662,13665
2016,45 to 54,38301,28001,25012,13289
2016,55 to 64,39242,29393,26657,12585
2016,65 to 74,27839,21908,20219,7620
2016,75+,19154,14759,13095,6059
