income,totalcitizens,# of People,votes,year,test,status
"Under $5,000",3668,1962,1256,2000,"Under $5,000",registered
"$5,000 to $9,999",7246,4136,2940,2000,"$5,000 to $9,999",registered
"$10,000 to $14,999",12395,7263,5490,2000,"$10,000 to $14,999",registered
"$15,000 to $24,999",24674,16025,12660,2000,"$15,000 to $24,999",registered
"$25,000 to $34,999",31257,21576,18051,2000,"$25,000 to $34,999",registered
"$35,000 to $49,999",41519,30014,25707,2000,"$35,000 to $49,999",registered
"$50,000 to $74,999",53365,41549,36681,2000,"$50,000 to $74,999",registered
"$10,000 to $14,999",66884,54900,50120,2000,"$75,000 and over",registered
Income not reported,39149,22473,19979,2000,Income not reported,registered
"Under $5,000",3668,1706,1256,2000,"Under $5,000",not registered
"$5,000 to $9,999",7246,3110,2940,2000,"$5,000 to $9,999",not registered
"$10,000 to $14,999",12395,5132,5490,2000,"$10,000 to $14,999",not registered
"$15,000 to $24,999",24674,8649,12660,2000,"$15,000 to $24,999",not registered
"$25,000 to $34,999",31257,9681,18051,2000,"$25,000 to $34,999",not registered
"$35,000 to $49,999",41519,11505,25707,2000,"$35,000 to $49,999",not registered
"$50,000 to $74,999",53365,11816,36681,2000,"$50,000 to $74,999",not registered
"$10,000 to $14,999",66884,11984,50120,2000,"$75,000 and over",not registered
Income not reported,39149,16676,19979,2000,Income not reported,not registered
"Under $5,000",3668,1256,1256,2000,"Under $5,000",voted
"$5,000 to $9,999",7246,2940,2940,2000,"$5,000 to $9,999",voted
"$10,000 to $14,999",12395,5490,5490,2000,"$10,000 to $14,999",voted
"$15,000 to $24,999",24674,12660,12660,2000,"$15,000 to $24,999",voted
"$25,000 to $34,999",31257,18051,18051,2000,"$25,000 to $34,999",voted
"$35,000 to $49,999",41519,25707,25707,2000,"$35,000 to $49,999",voted
"$50,000 to $74,999",53365,36681,36681,2000,"$50,000 to $74,999",voted
"$10,000 to $14,999",66884,50120,50120,2000,"$75,000 and over",voted
Income not reported,39149,19979,19979,2000,Income not reported,voted
