mon,totalcitizens,# of People,votes,year,test,status
"Under $10,000",11007,6338,4669,2004,"Under $10,000",registered
"$10,000 to $14,999",10586,6429,5140,2004,"$10,000 to $14,999",registered
"$15,000 to $19,999",9699,6322,5295,2004,"$15,000 to $19,999",registered
"$20,000 to $29,999",26341,18111,15380,2004,"$20,000 to $29,999",registered
"$30,000 to $39,999",30083,21643,18668,2004,"$30,000 to $39,999",registered
"$40,000 to $49,999",24161,18548,16551,2004,"$40,000 to $49,999",registered
"$50,000 to $74,999",56933,45647,41118,2004,"$50,000 to $74,999",registered
"$75,000 to $99,999",34494,28778,26866,2004,"$75,000 to $99,999",registered
"$100,000 to $149,999",28527,24500,23200,2004,"$100,000 to $149,999",registered
"$150,000 and over",17549,15063,14273,2004,"$150,000 and over",registered
Income not reported,45702,26210,23541,2004,Income not reported,registered
"Under $10,000",11007,4669,4669,2004,"Under $10,000",not registered
"$10,000 to $14,999",10586,4157,5140,2004,"$10,000 to $14,999",not registered
"$15,000 to $19,999",9699,3377,5295,2004,"$15,000 to $19,999",not registered
"$20,000 to $29,999",26341,8230,15380,2004,"$20,000 to $29,999",not registered
"$30,000 to $39,999",30083,8440,18668,2004,"$30,000 to $39,999",not registered
"$40,000 to $49,999",24161,5613,16551,2004,"$40,000 to $49,999",not registered
"$50,000 to $74,999",56933,11286,41118,2004,"$50,000 to $74,999",not registered
"$75,000 to $99,999",34494,5716,26866,2004,"$75,000 to $99,999",not registered
"$100,000 to $149,999",28527,4027,23200,2004,"$100,000 to $149,999",not registered
"$150,000 and over",17549,2486,14273,2004,"$150,000 and over",not registered
Income not reported,45702,19492,23541,2004,Income not reported,not registered
"Under $10,000",11007,4669,4669,2004,"Under $10,000",voted
"$10,000 to $14,999",10586,5140,5140,2004,"$10,000 to $14,999",voted
"$15,000 to $19,999",9699,5295,5295,2004,"$15,000 to $19,999",voted
"$20,000 to $29,999",26341,15380,15380,2004,"$20,000 to $29,999",voted
"$30,000 to $39,999",30083,18668,18668,2004,"$30,000 to $39,999",voted
"$40,000 to $49,999",24161,16551,16551,2004,"$40,000 to $49,999",voted
"$50,000 to $74,999",56933,41118,41118,2004,"$50,000 to $74,999",voted
"$75,000 to $99,999",34494,26866,26866,2004,"$75,000 to $99,999",voted
"$100,000 to $149,999",28527,23200,23200,2004,"$100,000 to $149,999",voted
"$150,000 and over",17549,14273,14273,2004,"$150,000 and over",voted
Income not reported,45702,23541,23541,2004,Income not reported,voted
