state,year,id,party,votes
Alabama,1976,1,democrat,659170
Alabama,2008,1,republican,1266546
Alabama,1992,1,republican,804283
Alabama,2000,1,republican,941173
Alabama,1988,1,republican,815576
Alabama,1996,1,republican,769044
Alabama,2004,1,republican,1176394
Alabama,1984,1,republican,872849
Alabama,2012,1,republican,1255925
Alabama,1980,1,republican,654192
Alabama,2016,1,republican,1318255
Alaska,1996,2,republican,122746
Alaska,2000,2,republican,167398
Alaska,1992,2,republican,102000
Alaska,1984,2,republican,138377
Alaska,1988,2,republican,119251
Alaska,2008,2,republican,193841
Alaska,1980,2,republican,86112
Alaska,1976,2,republican,71555
Alaska,2016,2,republican,163387
Alaska,2004,2,republican,190889
Alaska,2012,2,republican,164676
Arizona,2016,3,republican,1252401
Arizona,1988,4,republican,702541
Arizona,1980,4,republican,529688
Arizona,2008,4,republican,1230111
Arizona,1996,4,democrat,653288
Arizona,2004,4,republican,1104294
Arizona,1984,4,republican,681416
Arizona,1976,4,republican,418642
Arizona,2000,4,republican,781652
Arizona,2012,4,republican,1233654
Arizona,1992,4,republican,572086
Arkansas,1976,5,democrat,498604
Arkansas,1988,5,republican,466578
Arkansas,2004,5,republican,572898
Arkansas,1984,5,republican,534774
Arkansas,2012,5,republican,647744
Arkansas,2000,5,republican,472940
Arkansas,1992,5,democrat,505823
Arkansas,2016,5,republican,684872
Arkansas,1996,5,democrat,475171
Arkansas,2008,5,republican,638017
Arkansas,1980,5,republican,403164
California,1984,6,republican,5467009
California,1988,6,republican,5054917
California,2008,6,democrat,8274473
California,1980,6,republican,4522994
California,1976,6,republican,3882244
California,2012,6,democrat,7854285
California,2016,6,democrat,8753788
California,1996,6,democrat,5119835
California,2004,6,democrat,6745485
California,2000,6,democrat,5861203
California,1992,6,democrat,5121325
Colorado,1996,8,republican,691848
Colorado,1992,8,democrat,629681
Colorado,2016,8,democrat,1338870
Colorado,1976,8,republican,584278
Colorado,1988,8,republican,728177
Colorado,2008,8,democrat,1288576
Colorado,1984,8,republican,821817
Colorado,2012,8,democrat,1323101
Colorado,2004,8,republican,1101255
Colorado,2000,8,republican,883748
Colorado,1980,8,republican,652264
Connecticut,2016,9,democrat,897572
Connecticut,1984,9,republican,890877
Connecticut,1992,9,democrat,682318
Connecticut,1996,9,democrat,735740
Connecticut,2012,9,democrat,905083
Connecticut,1976,9,republican,719261
Connecticut,2004,9,democrat,857488
Connecticut,1988,9,republican,750241
Connecticut,1980,9,republican,677210
Connecticut,2000,9,democrat,816015
Connecticut,2008,9,democrat,997772
Delaware,1980,10,republican,111252
Delaware,1976,10,democrat,122461
Delaware,1984,10,republican,152190
Delaware,1988,10,republican,139639
Delaware,2008,10,democrat,255459
Delaware,1996,10,democrat,140355
Delaware,2012,10,democrat,242584
Delaware,2016,10,democrat,235603
Delaware,2000,10,democrat,180068
Delaware,2004,10,democrat,200152
Delaware,1992,10,democrat,126054
District of Columbia,2004,11,democrat,202970
District of Columbia,2012,11,democrat,267070
District of Columbia,2016,11,democrat,282830
District of Columbia,1976,11,democrat,137818
District of Columbia,1996,11,democrat,158220
District of Columbia,1980,11,democrat,130231
District of Columbia,1984,11,democrat,180408
District of Columbia,1988,11,democrat,159407
District of Columbia,2000,11,democrat,171923
District of Columbia,1992,11,democrat,192619
District of Columbia,2008,11,democrat,245800
Florida,1992,12,republican,2173310
Florida,2000,12,republican,2912790
Florida,1976,12,democrat,1636000
Florida,1988,12,republican,2618885
Florida,2012,12,democrat,4237756
Florida,2008,12,democrat,4282074
Florida,2016,12,republican,4617886
Florida,1996,12,democrat,2546870
Florida,1984,12,republican,2730350
Florida,1980,12,republican,2046951
Florida,2004,12,republican,3964522
Georgia,1976,13,democrat,979409
Georgia,1984,13,republican,1068722
Georgia,1996,13,republican,1080843
Georgia,2016,13,republican,2089104
Georgia,1988,13,republican,1081331
Georgia,2000,13,republican,1419720
Georgia,1992,13,democrat,1008966
Georgia,2008,13,republican,2048759
Georgia,2012,13,republican,2078688
Georgia,1980,13,democrat,890955
Georgia,2004,13,republican,1914254
Hawaii,1992,15,democrat,179310
Hawaii,2016,15,democrat,266891
Hawaii,1988,15,democrat,192364
Hawaii,2000,15,democrat,205286
Hawaii,1984,15,republican,185050
Hawaii,2012,15,democrat,306658
Hawaii,2004,15,democrat,231708
Hawaii,1976,15,democrat,147375
Hawaii,1996,15,democrat,205012
Hawaii,1980,15,democrat,135879
Hawaii,2008,15,democrat,325871
Idaho,2000,16,republican,336937
Idaho,1980,16,republican,290699
Idaho,1996,16,republican,256595
Idaho,2008,16,republican,403012
Idaho,1992,16,republican,202645
Idaho,1976,16,republican,204151
Idaho,1988,16,republican,253881
Idaho,2004,16,republican,409235
Idaho,2016,16,republican,409055
Idaho,1984,16,republican,297523
Idaho,2012,16,republican,420911
Illinois,2012,17,democrat,3019512
Illinois,2004,17,democrat,2891550
Illinois,1988,17,republican,2310939
Illinois,1996,17,democrat,2341744
Illinois,1984,17,republican,2707103
Illinois,2000,17,democrat,2589026
Illinois,1992,17,democrat,2453350
Illinois,2008,17,democrat,3419348
Illinois,1976,17,republican,2364269
Illinois,2016,17,democrat,3090729
Illinois,1980,17,republican,2358049
Indiana,2004,18,republican,1479438
Indiana,1996,18,republican,1006693
Indiana,1992,18,republican,989375
Indiana,1988,18,republican,1297763
Indiana,2016,18,republican,1557286
Indiana,1976,18,republican,1183958
Indiana,1980,18,republican,1255656
Indiana,2012,18,republican,1420543
Indiana,2008,18,democrat,1374039
Indiana,2000,18,republican,1245836
Indiana,1984,18,republican,1377230
Iowa,2000,19,democrat,638517
Iowa,1988,19,democrat,670557
Iowa,1996,19,democrat,620258
Iowa,2016,19,republican,800983
Iowa,2008,19,democrat,828940
Iowa,1992,19,democrat,586353
Iowa,1984,19,republican,703088
Iowa,1976,19,republican,632864
Iowa,1980,19,republican,676026
Iowa,2012,19,democrat,822544
Iowa,2004,19,republican,751957
Kansas,1980,20,republican,566812
Kansas,2012,20,republican,692634
Kansas,1976,20,republican,502752
Kansas,1992,20,republican,449951
Kansas,1984,20,republican,677296
Kansas,2000,20,republican,622332
Kansas,1988,20,republican,554049
Kansas,2016,20,republican,671018
Kansas,2004,20,republican,736456
Kansas,2008,20,republican,699655
Kansas,1996,20,republican,583245
Kentucky,2012,21,republican,1087190
Kentucky,1992,21,democrat,665104
Kentucky,2008,21,republican,1048462
Kentucky,1996,21,democrat,636614
Kentucky,1980,21,republican,635274
Kentucky,2000,21,republican,872520
Kentucky,2016,21,republican,1202971
Kentucky,1984,21,republican,821702
Kentucky,1976,21,democrat,615717
Kentucky,1988,21,republican,734281
Kentucky,2004,21,republican,1069439
Louisiana,1988,22,republican,883702
Louisiana,1996,22,democrat,927837
Louisiana,1992,22,democrat,815971
Louisiana,1976,22,democrat,661365
Louisiana,1984,22,republican,1037299
Louisiana,2004,22,republican,1102169
Louisiana,2016,22,republican,1178638
Louisiana,1980,22,republican,792853
Louisiana,2000,22,republican,927871
Louisiana,2008,22,republican,1148275
Louisiana,2012,22,republican,1152262
Maine,1996,23,democrat,312788
Maine,2004,23,democrat,396842
Maine,2012,23,democrat,401306
Maine,2016,23,democrat,357735
Maine,1988,23,republican,307131
Maine,1980,23,republican,238522
Maine,1984,23,republican,336500
Maine,1992,23,democrat,263420
Maine,1976,23,republican,236320
Maine,2000,23,democrat,319951
Maine,2008,23,democrat,421923
Maryland,2000,24,democrat,1144008
Maryland,2008,24,democrat,1629467
Maryland,1984,24,republican,879918
Maryland,2012,24,democrat,1677844
Maryland,1992,24,democrat,988571
Maryland,1976,24,democrat,759612
Maryland,1996,24,democrat,966207
Maryland,1980,24,democrat,726161
Maryland,1988,24,republican,876167
Maryland,2016,24,democrat,1677928
Maryland,2004,24,democrat,1334493
Massachusetts,1980,25,republican,1057631
Massachusetts,2008,25,democrat,1904097
Massachusetts,1984,25,republican,1310936
Massachusetts,1976,25,democrat,1429475
Massachusetts,2016,25,democrat,1995196
Massachusetts,2000,25,democrat,1616487
Massachusetts,1988,25,democrat,1401415
Massachusetts,1996,25,democrat,1571509
Massachusetts,2012,25,democrat,1921290
Massachusetts,2004,25,democrat,1803800
Massachusetts,1992,25,democrat,1318639
Michigan,1984,26,republican,2251571
Michigan,2012,26,democrat,2564569
Michigan,2000,26,democrat,2170418
Michigan,1996,26,democrat,1989653
Michigan,1988,26,republican,1965486
Michigan,2004,26,democrat,2479183
Michigan,1992,26,democrat,1871182
Michigan,2008,26,democrat,2872579
Michigan,1980,26,republican,1915225
Michigan,1976,26,republican,1893742
Michigan,2016,26,republican,2279543
Minnesota,1992,27,democrat,1020997
Minnesota,2004,27,democratic-farmer-labor,1445014
