Race,Year,Label,Number_of_Votes,
Asian or Pacific Islander,2000,Total Citizen Population,4718,
Asian or Pacific Islander,2000,Total Registered,2470,
Asian or Pacific Islander,2000,Total Voted,2045,
Black,2000,Total Citizen Population,22753,
Black,2000,Total Registered,15348,
Black,2000,Total Voted,12917,
Hispanic,2000,Total Citizen Population,13159,
Hispanic,2000,Total Registered,7546,
Hispanic,2000,Total Voted,5934,
White,2000,Total Citizen Population,157291,
White,2000,Total Registered,110773,
White,2000,Total Voted,95098,
Asian or Pacific Islander,2004,Total Citizen Population,6270,
Asian or Pacific Islander,2004,Total Registered,3247,
Asian or Pacific Islander,2004,Total Voted,2768,
Black,2004,Total Citizen Population,23346,
Black,2004,Total Registered,16035,
Black,2004,Total Voted,14016,
Hispanic,2004,Total Citizen Population,16088,
Hispanic,2004,Total Registered,9308,
Hispanic,2004,Total Voted,7587,
White,2004,Total Citizen Population,162958,
White,2004,Total Registered,119929,
White,2004,Total Voted,106588,
Asian or Pacific Islander,2008,Total Citizen Population,7059,
Asian or Pacific Islander,2008,Total Registered,3901,
Asian or Pacific Islander,2008,Total Voted,3357,
Black,2008,Total Citizen Population,24930,
Black,2008,Total Registered,17375,
Black,2008,Total Voted,16133,
Hispanic,2008,Total Citizen Population,19537,
Hispanic,2008,Total Registered,11608,
Hispanic,2008,Total Voted,9745,
White,2008,Total Citizen Population,169438,
White,2008,Total Registered,122020,
White,2008,Total Voted,109100,
Asian or Pacific Islander,2012,Total Citizen Population,8254,
Asian or Pacific Islander,2012,Total Registered,4649,
Asian or Pacific Islander,2012,Total Voted,3904,
Black,2012,Total Citizen Population,26915,
Black,2012,Total Registered,19680,
Black,2012,Total Voted,17813,
Hispanic,2012,Total Citizen Population,23329,
Hispanic,2012,Total Registered,13697,
Hispanic,2012,Total Voted,11188,
White,2012,Total Citizen Population,173466,
White,2012,Total Registered,124697,
White,2012,Total Voted,107846,
Asian or Pacific Islander,2016,Total Citizen Population,10283,
Asian or Pacific Islander,2016,Total Registered,5785,
Asian or Pacific Islander,2016,Total Voted,5043,
Black,2016,Total Citizen Population,28808,
Black,2016,Total Registered,19984,
Black,2016,Total Voted,17119,
Hispanic,2016,Total Citizen Population,26662,
Hispanic,2016,Total Registered,15267,
Hispanic,2016,Total Voted,12682,
White,2016,Total Citizen Population,177865,
White,2016,Total Registered,127463,
White,2016,Total Voted,111891,
