Race,Year,Number_of_Votes,,
Asian or Pacific Islander,2000,Total Citizen Population,4718,
Asian or Pacific Islander,2000,Total Registered,2470,
Asian or Pacific Islander,2000,Total Voted,2045,
Black,2000,Total Citizen Population,22753,
Black,2000,Total Registered,15348,
Black,2000,Total Voted,12917,
Hispanic,2000,Total Citizen Population,13159,
Hispanic,2000,Total Registered,7546,
Hispanic,2000,Total Voted,5934,
White,2000,Total Citizen Population,157291,
White,2000,Total Registered,110773,
White,2000,Total Voted,95098,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
