state,year,party,p_votes,id
Alabama,2008,republican,0.60316914,1
Alaska,2008,republican,0.5942452,2
Arizona,2008,republican,0.53635246,4
Arkansas,2008,republican,0.58715904,5
California,2008,democrat,0.6101264,6
Colorado,2008,democrat,0.5366024,8
Connecticut,2008,democrat,0.6058883,9
Delaware,2008,democrat,0.61942667,10
District of Columbia,2008,democrat,0.9245711,11
Florida,2008,democrat,0.51033306,12
Georgia,2008,republican,0.5220452,13
Hawaii,2008,democrat,0.7145291,15
Idaho,2008,republican,0.6151709,16
Illinois,2008,democrat,0.61918116,17
Indiana,2008,democrat,0.49945912,18
Iowa,2008,democrat,0.5392802,19
Kansas,2008,republican,0.56612253,20
Kentucky,2008,republican,0.5739902,21
Louisiana,2008,republican,0.5856272,22
Maine,2008,democrat,0.57705736,23
Maryland,2008,democrat,0.61919343,24
Massachusetts,2008,democrat,0.61363196,25
Michigan,2008,democrat,0.5743325,26
Minnesota,2008,democrat,0.5406029,27
Mississippi,2008,republican,0.5617619,28
Missouri,2008,republican,0.49426076,29
Montana,2008,republican,0.49532452,30
Nebraska,2008,republican,0.5653185,31
Nevada,2008,democrat,0.55146676,32
New Hampshire,2008,democrat,0.54126894,33
New Jersey,2008,democrat,0.57272136,34
New Mexico,2008,democrat,0.5690748,35
New York,2008,democrat,0.6015696,36
North Carolina,2008,democrat,0.49703667,37
North Dakota,2008,republican,0.532501,38
Ohio,2008,democrat,0.5150427,39
Oklahoma,2008,republican,0.6564508,40
Oregon,2008,democrat,0.5674881,41
Pennsylvania,2008,democrat,0.5448553,42
Rhode Island,2008,democrat,0.62864006,44
South Carolina,2008,republican,0.53873646,45
South Dakota,2008,republican,0.53158975,46
Tennessee,2008,republican,0.56896955,47
Texas,2008,republican,0.5545236,48
Utah,2008,republican,0.6258387,49
Vermont,2008,democrat,0.67455685,50
Virginia,2008,democrat,0.5262947,51
Washington,2008,democrat,0.5765289,53
West Virginia,2008,republican,0.55710346,54
Wisconsin,2008,democrat,0.56217784,55
Wyoming,2008,republican,0.64713776,56
